winner,loser
1,2
3,2
2,4
5,2
6,7
8,7
7,9
10,7
7,11
7,12
7,13
7,14
15,7
7,16
7,17
7,18
7,19
7,20
7,21
7,22
7,23
7,24
7,23
23,7
7,25
23,7
26,7
7,23
23,7
7,27
7,28
7,29
7,30
31,7
7,31
31,7
7,31
31,7
31,7
7,31
7,31
7,31
7,31
7,31
7,32
7,33
7,34
7,35
7,35
7,36
7,37
7,38
7,39
40,7
7,40
7,41
7,41
7,42
7,43
7,44
7,44
44,7
7,44
44,7
7,44
7,45
7,46
7,46
7,47
7,48
7,49
7,50
7,51
52,7
53,7
7,54
7,55
7,56
7,57
7,57
7,58
7,59
60,7
7,60
7,60
7,61
62,7
7,63
64,7
65,7
7,66
7,67
68,7
69,7
64,7
70,7
7,71
7,72
7,72
7,73
7,74
7,75
7,76
7,77
78,7
7,78
7,78
7,78
7,78
78,7
79,7
79,7
79,7
7,80
7,81
82,7
7,83
7,84
7,85
85,7
7,85
7,85
7,85
85,7
7,86
86,7
7,87
88,7
7,88
7,88
7,88
7,89
7,89
7,90
91,7
91,7
91,7
91,7
91,7
91,7
7,92
92,7
92,7
7,92
7,92
7,89
7,89
7,89
89,7
89,7
7,89
89,7
7,89
7,89
93,7
7,93
7,94
95,7
7,95
7,96
7,97
7,98
7,99
100,7
7,100
7,101
101,7
7,101
101,7
7,101
101,7
7,101
101,7
7,101
7,101
7,101
101,7
102,7
7,103
7,104
7,104
7,104
7,105
106,7
107,7
95,7
108,7
7,109
110,7
111,7
7,112
7,113
7,114
7,115
7,116
7,117
7,118
7,118
7,119
7,120
121,7
121,7
7,121
7,122
118,7
123,7
7,124
124,7
7,125
126,7
7,126
7,126
7,126
7,126
65,7
65,7
7,127
7,128
7,128
128,7
7,129
7,129
7,130
7,130
7,131
132,7
7,132
7,133
7,133
7,134
7,134
134,7
7,134
134,7
7,135
136,7
136,7
136,7
137,7
7,123
138,7
139,7
7,140
141,7
7,142
7,141
7,141
141,7
141,7
143,7
7,143
7,143
143,7
143,7
143,7
144,7
7,144
7,144
144,7
7,144
7,145
7,146
146,7
7,144
147,7
7,147
147,7
147,7
147,7
7,148
7,148
7,148
7,148
7,149
7,149
7,150
7,150
151,7
151,7
151,7
151,7
151,7
152,7
153,7
154,7
7,155
156,7
7,156
7,156
7,157
158,7
7,159
7,160
7,161
7,162
7,163
7,163
163,7
7,164
7,165
7,166
166,7
7,166
7,167
168,7
7,168
7,169
7,169
146,7
7,146
146,7
146,7
146,7
7,146
7,170
170,7
7,171
7,171
7,171
7,171
7,171
171,7
7,171
171,7
7,172
173,7
7,173
7,174
43,7
7,43
7,43
175,7
7,175
7,175
175,7
7,175
7,175
175,7
175,7
175,7
7,175
7,176
7,177
178,7
179,7
7,179
7,179
7,179
7,179
7,180
7,180
7,180
7,180
180,7
181,7
181,7
181,7
181,7
181,7
181,7
181,7
7,181
7,181
181,7
181,7
181,7
146,7
7,146
146,7
7,146
146,7
146,7
7,146
7,182
182,7
7,182
7,182
7,182
7,182
7,182
168,7
7,168
7,168
7,168
7,183
7,183
184,7
184,7
184,7
7,43
7,185
7,185
7,185
7,186
186,7
7,186
92,7
7,92
92,7
92,7
7,92
7,92
7,92
187,7
7,188
7,188
188,7
188,7
7,143
143,7
143,7
143,7
7,143
7,143
143,7
189,7
189,7
7,189
7,190
7,190
190,7
7,190
188,7
7,191
7,192
7,143
7,143
7,143
7,193
7,194
194,7
194,7
194,7
7,194
7,194
194,7
7,194
195,7
7,154
7,196
7,196
196,7
7,196
7,196
7,197
7,197
7,198
7,198
7,198
7,198
198,7
7,198
7,198
7,198
199,7
7,200
7,201
7,201
7,202
7,150
7,150
150,7
7,150
7,150
7,150
7,150
7,150
7,150
150,7
203,7
203,7
203,7
203,7
7,203
203,7
203,7
204,7
7,204
7,204
204,7
7,204
7,204
7,204
7,204
204,7
7,204
7,204
7,204
7,205
7,206
7,199
7,207
208,7
7,208
208,7
7,208
7,208
208,7
208,7
7,208
208,7
7,208
7,208
7,208
209,7
210,7
211,7
7,211
211,7
7,211
7,211
7,211
211,7
7,212
7,212
7,212
7,213
7,214
7,215
7,216
185,7
7,185
185,7
185,7
217,7
7,217
7,185
185,7
7,218
185,7
219,7
7,219
7,219
7,219
7,219
219,7
219,7
7,219
7,219
7,219
220,7
220,7
7,220
7,220
7,200
7,200
7,200
146,7
7,146
7,146
146,7
